section,title,practice_areas_pipe,priority,official_url
2913.421,Illegally transmitting multiple commercial electronic mail messages (spamming) - unauthorized access of computer,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.421
2913.43,Securing writings by deception,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.43
2913.44,Personating an officer,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.44
2913.441,Unlawful display of law enforcement emblem,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.441
2913.45,Defrauding creditors,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.45
2913.46,Illegal use of supplemental nutrition assistance or WIC program benefits,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.46
2913.47,Insurance fraud,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.47
2913.48,Workers' compensation fraud,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.48
2913.49,Identity fraud,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.49
2913.51,Receiving stolen property,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.51
2913.61,Finding of value of stolen property as part of verdict,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.61
2913.71,Felony of fifth degree regardless of the value of the property,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.71
2913.72,Evidence of an intent to commit theft of rented property,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.72
2913.73,Evidence that victim lacked capacity to give consent,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.73
2913.82,Towing or storage fees to be paid by person convicted of theft offense that involves motor vehicle,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.82
2915.01,Gambling definitions,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.01
2915.02,Gambling,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.02
2915.03,Operating a gambling house,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.03
2915.04,Public gaming,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.04
2915.05,Cheating - corrupting sports,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.05
2915.06,Skill-based amusement machine prohibited conduct,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.06
2915.061,Regulation of skill-based amusement machines,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.061
2915.07,Conducting illegal bingo,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.07
2915.08,"Application for license to conduct bingo, instant bingo",Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.08
2915.081,Illegally operating as distributor of bingo supplies,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.081
2915.082,Illegally operating as manufacturer of bingo supplies,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.082
2915.09,Illegally conducting bingo game - rules,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.09
2915.091,Illegally conducting instant bingo - rules,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.091
2915.092,Raffles - Illegal conduct of raffle - penalties,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.092
2915.093,Charitable organization conducting instant bingo other than at bingo session at location where primary activity is instant bingo,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.093
2915.094,Owner or lessor conducting instant bingo other than at bingo session at location where primary activity is instant bingo,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.094
2915.095,Standard contract for the conduct of instant bingo other than at bingo session,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.095
2915.10,Bingo records retention,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.10
2915.101,Distributing net profit from proceeds of sale of instant bingo,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.101
2915.11,Bingo game operator requirements,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.11
2915.12,Bingo games conducted for amusement only,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2915.12
