section,orc_dash,title,ui_label,url_slug,official_url,priority,practice_areas_pipe,keywords_pipe
2905.24,2905-24,Evidence showing an implicit threat as means of collection,ORC 2905.24: Evidence showing an implicit threat as means of collection,evidence-showing-an-implicit-threat-as-means-of-collection-orc-2905-24,https://codes.ohio.gov/ohio-revised-code/section-2905.24,P1,Criminal Defense,Evidence showing an implicit threat as means of collection ohio | orc 2905.24
2905.31,2905-31,Definitions for sections 2905.31 to 2905.33,ORC 2905.31: Definitions for sections 2905.31 to 2905.33,definitions-for-sections-2905-31-to-2905-33-orc-2905-31,https://codes.ohio.gov/ohio-revised-code/section-2905.31,P1,Criminal Defense,Definitions for sections 2905.31 to 2905.33 ohio | orc 2905.31
2905.32,2905-32,Trafficking in persons,ORC 2905.32: Trafficking in persons,trafficking-in-persons-orc-2905-32,https://codes.ohio.gov/ohio-revised-code/section-2905.32,P1,Criminal Defense,Trafficking in persons ohio | orc 2905.32
2905.33,2905-33,Unlawful conduct with respect to documents,ORC 2905.33: Unlawful conduct with respect to documents,unlawful-conduct-with-respect-to-documents-orc-2905-33,https://codes.ohio.gov/ohio-revised-code/section-2905.33,P1,Criminal Defense,Unlawful conduct with respect to documents ohio | orc 2905.33
2907.01,2907-01,Sex offenses general definitions,ORC 2907.01: Sex offenses general definitions,sex-offenses-general-definitions-orc-2907-01,https://codes.ohio.gov/ohio-revised-code/section-2907.01,P1,Criminal Defense | Sex Crimes,Sex offenses general definitions ohio | orc 2907.01 | sex offense ohio | sex offender registration ohio
2907.02,2907-02,Rape,ORC 2907.02: Rape,rape-orc-2907-02,https://codes.ohio.gov/ohio-revised-code/section-2907.02,P1,Criminal Defense | Sex Crimes,Rape ohio | orc 2907.02 | sex offense ohio | sex offender registration ohio
2907.03,2907-03,Sexual battery,ORC 2907.03: Sexual battery,sexual-battery-orc-2907-03,https://codes.ohio.gov/ohio-revised-code/section-2907.03,P1,Criminal Defense | Sex Crimes,Sexual battery ohio | orc 2907.03 | sex offense ohio | sex offender registration ohio
2907.04,2907-04,Unlawful sexual conduct with minor,ORC 2907.04: Unlawful sexual conduct with minor,unlawful-sexual-conduct-with-minor-orc-2907-04,https://codes.ohio.gov/ohio-revised-code/section-2907.04,P1,Criminal Defense | Sex Crimes,Unlawful sexual conduct with minor ohio | orc 2907.04 | sex offense ohio | sex offender registration ohio
2907.05,2907-05,Gross sexual imposition,ORC 2907.05: Gross sexual imposition,gross-sexual-imposition-orc-2907-05,https://codes.ohio.gov/ohio-revised-code/section-2907.05,P1,Criminal Defense | Sex Crimes,Gross sexual imposition ohio | orc 2907.05 | sex offense ohio | sex offender registration ohio
2907.06,2907-06,Sexual imposition,ORC 2907.06: Sexual imposition,sexual-imposition-orc-2907-06,https://codes.ohio.gov/ohio-revised-code/section-2907.06,P1,Criminal Defense | Sex Crimes,Sexual imposition ohio | orc 2907.06 | sex offense ohio | sex offender registration ohio
2907.07,2907-07,Importuning,ORC 2907.07: Importuning,importuning-orc-2907-07,https://codes.ohio.gov/ohio-revised-code/section-2907.07,P1,Criminal Defense | Sex Crimes,Importuning ohio | orc 2907.07 | sex offense ohio | sex offender registration ohio
2907.071,2907-071,Grooming,ORC 2907.071: Grooming,grooming-orc-2907-071,https://codes.ohio.gov/ohio-revised-code/section-2907.071,P1,Criminal Defense | Sex Crimes,Grooming ohio | orc 2907.071 | sex offense ohio | sex offender registration ohio
2907.08,2907-08,Voyeurism,ORC 2907.08: Voyeurism,voyeurism-orc-2907-08,https://codes.ohio.gov/ohio-revised-code/section-2907.08,P1,Criminal Defense | Sex Crimes,Voyeurism ohio | orc 2907.08 | sex offense ohio | sex offender registration ohio
2907.09,2907-09,Public indecency,ORC 2907.09: Public indecency,public-indecency-orc-2907-09,https://codes.ohio.gov/ohio-revised-code/section-2907.09,P1,Criminal Defense | Sex Crimes,Public indecency ohio | orc 2907.09 | sex offense ohio | sex offender registration ohio
2907.10,2907-10,Preliminary polygraph test of sex offense victim,ORC 2907.10: Preliminary polygraph test of sex offense victim,preliminary-polygraph-test-of-sex-offense-victim-orc-2907-10,https://codes.ohio.gov/ohio-revised-code/section-2907.10,P1,Criminal Defense | Sex Crimes,Preliminary polygraph test of sex offense victim ohio | orc 2907.10 | sex offense ohio | sex offender registration ohio
2907.11,2907-11,Suppression of names of victim and offender and details of the alleged offense,ORC 2907.11: Suppression of names of victim and offender and details of the alleged offense,suppression-of-names-of-victim-and-offender-and-details-of-the-alleged-offense-orc-2907-11,https://codes.ohio.gov/ohio-revised-code/section-2907.11,P1,Criminal Defense | Sex Crimes,Suppression of names of victim and offender and details of the alleged offense ohio | orc 2907.11 | sex offense ohio | sex offender registration ohio
2907.13,2907-13,Fraudulent assisted reproduction,ORC 2907.13: Fraudulent assisted reproduction,fraudulent-assisted-reproduction-orc-2907-13,https://codes.ohio.gov/ohio-revised-code/section-2907.13,P1,Criminal Defense | Sex Crimes,Fraudulent assisted reproduction ohio | orc 2907.13 | sex offense ohio | sex offender registration ohio
2907.14,2907-14,Reporting fraudulent assisted reproduction to professional licensing board,ORC 2907.14: Reporting fraudulent assisted reproduction to professional licensing board,reporting-fraudulent-assisted-reproduction-to-professional-licensing-board-orc-2907-14,https://codes.ohio.gov/ohio-revised-code/section-2907.14,P1,Criminal Defense | Sex Crimes,Reporting fraudulent assisted reproduction to professional licensing board ohio | orc 2907.14 | sex offense ohio | sex offender registration ohio
2907.15,2907-15,Withholding moneys needed for restitution to crime victims from state retirement funds,ORC 2907.15: Withholding moneys needed for restitution to crime victims from state retirement funds,withholding-moneys-needed-for-restitution-to-crime-victims-from-state-retirement-funds-orc-2907-15,https://codes.ohio.gov/ohio-revised-code/section-2907.15,P1,Criminal Defense | Sex Crimes,Withholding moneys needed for restitution to crime victims from state retirement funds ohio | orc 2907.15 | sex offense ohio | sex offender registration ohio
